STATE,UNIT_TYPE,PARKNAME,Shape__Are,mi,km,acres,measure_type
DC,National Memorial,Theodore Roosevelt Island,670314.0703,,,,
DC,National Memorial,World War II Memorial,57408.39063,,,,
DC,National Memorial,Franklin Delano Roosevelt,54428.30859,,,,
DC,National Memorial,Thomas Jefferson Memorial,131694.9375,,,,
DC,National Memorial,Lincoln,48757.28906,,,,
DC,National Memorial,Washington Monument,698443.168,,,,
DC,National Memorial,Korean War Veterans,10418.44141,,,,
DC,National Memorial,Vietnam Veterans,14616.56641,,,,
DC,National Memorial,Martin Luther King Jr,18329.22266,,,,
DC,National Memorial,World War I,13826.66016,,,,
DC,National Memorial,Dwight D. Eisenhower,22355.57422,,,,
DC,National Monument,Belmont-Paul Women's Equality,2306.460938,,,,
DC,Other Designation,National Capital Parks,49153455.32,,,,
DC,Other Designation,National Mall,1154397.695,,,,
DC,Other Designation,Rock Creek Park,11722714.78,,,,
DC,Other Designation,Constitution Gardens,285615.6367,,,,
DC,Other Designation,President's Park (White House),122787.8672,,,,
DE,National Historical Park,First State,7934331.363,,,,
FL,National Memorial,De Soto,156650.9238,,,,
FL,National Memorial,Fort Caroline,764984.75,,,,
FL,National Monument,Castillo de San Marcos,108299.668,,,,
FL,National Monument,Fort Matanzas,1474420.646,,,,
FL,National Park,Biscayne,867063857.3,,,,
FL,National Park,Everglades,7625863022,,,,
FL,National Park,Dry Tortugas,322682120.8,,,,
FL,National Preserve,Big Cypress,3659385199,,,,
FL,National Preserve,Timucuan,247930328.8,,,,
FL,National Seashore,Canaveral,309112930.2,,,,
FL,National Seashore,Gulf Islands,710305580.7,,,,
GA,National Battlefield Park,Kennesaw Mountain,17404530.26,,,,
GA,National Historic Site,Andersonville,2953276.727,,,,
GA,National Historical Park,Ocmulgee,19469742.48,,,,
GA,National Historical Park,Jimmy Carter,407012.9297,,,,
GA,National Historical Park,Martin Luther King Jr.,228201.9063,,,,
GA,National Military Park,Chickamauga and Chattanooga,59444192.5,,,,
GA,National Monument,Fort Frederica,1567605.268,,,,
GA,National Monument,Fort Pulaski,30589695.03,,,,
GA,National Recreation Area,Chattahoochee River,70122898.73,,,,
GA,National Seashore,Cumberland Island,211346295.5,,,,
GU,National Historical Park,War in the Pacific,8198056.674,,,,
HI,National Historic Site,Puukohola Heiau,396784.4688,,,,
HI,National Historic Site,Honouliuli,727877.6797,,,,
HI,National Historical Park,Kalaupapa,49785906.66,,,,
HI,National Historical Park,Pu`uhonua O Honaunau,1927680.383,,,,
