,d_Des_Tp,Unit_Nm,State_Nm,d_State_Nm,GIS_Acres,type
825,State Park,Hartman Creek State Park,WI,Wisconsin,1416,State Park
826,State Park,High Cliff State Park,WI,Wisconsin,1049,State Park
827,State Park,Interstate Park-Iansr,WI,Wisconsin,1304,State Park
828,State Park,John Michael Kohler State Park,WI,Wisconsin,716,State Park
829,State Park,Lake Kegonsa State Park,WI,Wisconsin,349,State Park
830,State Park,Mill Bluff State Park-Iansr,WI,Wisconsin,1605,State Park
831,State Park,Mirror Lake State Park,WI,Wisconsin,2138,State Park
832,State Park,Natural Bridge State Park,WI,Wisconsin,539,State Park
833,State Park,Nelson Dewey State Park,WI,Wisconsin,749,State Park
834,State Park,New Glarus Woods State Park,WI,Wisconsin,382,State Park
835,State Park,Newport State Park,WI,Wisconsin,2467,State Park
836,State Park,Peninsula State Park,WI,Wisconsin,3689,State Park
837,State Park,Potawatomi State Park,WI,Wisconsin,1099,State Park
838,State Park,Roche A Cri State Park,WI,Wisconsin,453,State Park
839,State Park,Rock Island State Park,WI,Wisconsin,934,State Park
840,State Park,Rocky Arbor State Park,WI,Wisconsin,228,State Park
841,State Park,Terry Andrae State Park,WI,Wisconsin,211,State Park
842,State Park,Tower Hill State Park,WI,Wisconsin,96,State Park
843,State Park,Whitefish Dunes State Park,WI,Wisconsin,873,State Park
844,State Park,Wildcat Mountain State Park,WI,Wisconsin,3635,State Park
845,State Park,Wyalusing State Park,WI,Wisconsin,2620,State Park
846,State Park,Yellowstone Lake State Park,WI,Wisconsin,767,State Park
847,State Park,Amnicon Falls State Park,WI,Wisconsin,832,State Park
